question,answer
What is the punishment for nan?,nan (Section: IPC_226)
What is the punishment for nan?,nan (Section: IPC_191)
What is the punishment for nan?,nan (Section: IPC_192)
What is the punishment for Giving or fabricating false evidence in a judicial proceeding?,7 Years + Fine (Section: IPC_193)
What is the punishment for Giving or fabricating false evidence with intent to cause any person to be convicted of a capital offence?,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine (Section: IPC_194)
What is the punishment for Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 Years or upwards?,Same As Offence (Section: IPC_195)
What is the punishment for Threatening any person to give false evidence?,7 Years or Fine or Both (Section: IPC_195A)
What is the punishment for Using in a judicial proceeding evidence known to be false or fabricated?,As For False Evidence (Section: IPC_196)
What is the punishment for Knowingly issuing or signing a false certificate relating to any fact of which such certificate is by law admissible in evidence?,As for False Evidence (Section: IPC_197)
What is the punishment for Using as a true certificate one known to be false in a material point?,As for False Evidence (Section: IPC_198)
What is the punishment for False statement made in any declaration which by law receivable as evidence?,As for False Evidence (Section: IPC_199)
What is the punishment for Using as true any such declaration known to be false?,As for False Evidence (Section: IPC_200)
"What is the punishment for Causing disappearance of evidence of an offence committed, or giving false information touching it to screen the offender, If a capital offence?",7 Years + Fine (Section: IPC_201)
What is the punishment for Intentional omission to give information of an offence by a person legally bound to inform?,6 Months or Fine or Both (Section: IPC_202)
What is the punishment for Giving false information respecting an offence committed?,2 Years or Fine or Both (Section: IPC_203)
What is the punishment for Secreting or destroying any document to prevent its production as evidence?,2 Years or Fine or Both (Section: IPC_204)
"What is the punishment for False personation for the purpose of any act or proceeding in a suit or criminal prosecution, or for becoming bail or security?",3 Years or Fine or Both (Section: IPC_205)
"What is the punishment for Fraudulent removal or concealment, etc., of property to prevent its seizure as a forfeiture, or in satisfaction of a Fine under sentence, or in execution of a decree?",2 Years or Fine or Both (Section: IPC_206)
"What is the punishment for Claiming property without right, or practicing deception touching any right to it, to prevent its being taken as a forfeiture or in satisfaction of a Fine under sentence, or in execution of a decree?",2 Years or Fine or Both (Section: IPC_207)
"What is the punishment for Fraudulently suffering a decree to pass for a sum not due, or suffering decree to be executed after it has been satisfied?",2 Years or Fine or Both (Section: IPC_208)
What is the punishment for False claim in a court of Justice?,2 Years + Fine (Section: IPC_209)
"What is the punishment for Fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied?",2 Years or Fine or Both (Section: IPC_210)
What is the punishment for False charge of offence made with intent to injure?,2 Years or Fine or Both (Section: IPC_211)
"What is the punishment for Harbouring an offender, If the offence be capital?",5 Years + Fine (Section: IPC_212)
"What is the punishment for Taking gift, etc., to screen an offender from punishment, If the offence be capital?",7 Years + Fine (Section: IPC_213)
"What is the punishment for Offering gift or restoration of property in consideration of screening offender, If the offence be capital?",7 Years + Fine (Section: IPC_214)
What is the punishment for Taking gift to help to recover movable property of which a person has been deprived by an offence without causing apprehension of offender?,2 Years or Fine or Both (Section: IPC_215)
"What is the punishment for Harbouring an offender who has escaped from custody, or whose apprehension has been ordered, If the offence be capital?",7 Years + Fine (Section: IPC_216)
What is the punishment for Harbouring robbers or dacoits?,Rigorous Imprisonment for 7 Years and Fine (Section: IPC_216A)
What is the punishment for nan?,nan (Section: IPC_216B)
"What is the punishment for Public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture?",2 Years or Fine or Both (Section: IPC_217)
"What is the punishment for Public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfeiture?",3 Years or Fine or Both (Section: IPC_218)
"What is the punishment for Public servant in a judicial proceeding corruptly Making and pronouncing an order, report, Verdict, or decision which he knows to be contrary to law?",7 Years or Fine or Both (Section: IPC_219)
"What is the punishment for Commitment for trial or confinement by a person Having authority, who Knows that he is Acting contrary to law?",7 Years or Fine or Both (Section: IPC_220)
"What is the punishment for Intentional omission to apprehend on the part of a public servant bound by law to apprehend an offender, If the offence be Capital?",7 Years with or without Fine (Section: IPC_221)
"What is the punishment for Intentional omission to apprehend on the part of A public servant bound by law to apprehend person under sentence of a court of Justice, If under sentence of death?",Imprisonment for Life or 14 Years with or without Fine (Section: IPC_222)
What is the punishment for Escape from confinement negligently suffered by a public servant?,Simple Imprisonment for 2 Years or Fine or Both (Section: IPC_223)
What is the punishment for Violation of condition of remission of punishment?,"Original Sentence, minus time already served (Section: IPC_227)"
What is the punishment for Intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding?,Simple Imprisonment for 6 Months or Fine or Both (Section: IPC_228)
"What is the punishment for Disclosure of identity of the victim of certain offences, etc.?",2 Years + Fine (Section: IPC_228A)
What is the punishment for Personation of a juror or assessor?,2 Years or Fine or Both (Section: IPC_229)
What is the punishment for Failure by person released on bail or bond to appear in Court?,1 Year or Fine or Both (Section: IPC_229A)
What is the punishment for nan?,nan (Section: IPC_230)
"What is the punishment for Counterfeiting, or performing any part of the process of counterfeiting coin?",7 Years + Fine (Section: IPC_231)
"What is the punishment for Counterfeiting, or performing any part of the process of counterfeiting coin?",Imprisonment for Life or 10 Years + Fine (Section: IPC_232)
"What is the punishment for Making, buying or selling instrument for the purpose of counterfeiting coin?",3 Years + Fine (Section: IPC_233)
"What is the punishment for Making, buying or selling instrument for the purpose of counterfeiting Indian coin?",7 Years + Fine (Section: IPC_234)
What is the punishment for Possession of instrument or material for the purpose of using the same for counterfeiting coin?,3 Years + Fine (Section: IPC_235)
"What is the punishment for Abetting, in India, the counterfeiting, out of India, of coin?",The punishment provided for abetting the counterfeiting of such coin within India (Section: IPC_236)
"What is the punishment for Import or export of counterfeit coin, knowing the same to be counterfeit?",3 Years + Fine (Section: IPC_237)
"What is the punishment for Import or export of counterfeit of Indian coin, knowing the same to be counterfeit?",Imprisonment for Life or 10 Years + Fine (Section: IPC_238)
"What is the punishment for Having any counterfeit coin known to be such when it came into possession, and delivering, etc., the same to any person?",5 Years + Fine (Section: IPC_239)
What is the punishment for Same with respect to Indian coin?,10 Years + Fine (Section: IPC_240)
"What is the punishment for Knowingly delivering to another any counterfeit coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit?",2 Years or Fine or 10 x Value of Coin or Both (Section: IPC_241)
What is the punishment for Possession of counterfeit coin by a person who knew it to be counterfeit when he became possessed thereof?,3 Years + Fine (Section: IPC_242)
What is the punishment for Possession of Indian coin by a person who knew it to be counterfeit when he became possessed thereof?,7 Years + Fine (Section: IPC_243)
What is the punishment for Person employed in a Mint causing coin to be of a different weight or composition from that fixed by law?,7 Years + Fine (Section: IPC_244)
What is the punishment for Unlawfully taking from a Mint any coining instrument?,7 Years + Fine (Section: IPC_245)
What is the punishment for Fraudulently diminishing the weight or altering the composition of any coin?,3 Years + Fine (Section: IPC_246)
What is the punishment for Fraudulently diminishing the weight or altering the composition of Indian coin?,7 Years + Fine (Section: IPC_247)
What is the punishment for Altering appearance of any coin with intent that it shall pass as a coin of a different description?,3 Years + Fine (Section: IPC_248)
What is the punishment for Altering appearance of Indian coin with intent that it shall pass as a coin of a different description?,7 Years + Fine (Section: IPC_249)
What is the punishment for Delivery to another of coin possessed with the knowledge that it is altered?,5 Years + Fine (Section: IPC_250)
What is the punishment for Delivery of Indian coin possessed with the knowledge that it is altered?,10 Years + Fine (Section: IPC_251)
What is the punishment for Possession of altered coin by a person who knew it to be altered when he became possessed thereof?,3 Years + Fine (Section: IPC_252)
What is the punishment for Possession of Indian coin by a person who knew it to be altered when he became possessed thereof?,5 Years + Fine (Section: IPC_253)
"What is the punishment for Delivery to another of coin as genuine which, when first possessed, the deliverer did not know to be altered?",2 Years or Fine or 10 x Value of Coin (Section: IPC_254)
What is the punishment for Counterfeiting a Government stamp?,Imprisonment for Life or 10 Years + Fine (Section: IPC_255)
What is the punishment for Having possession of an instrument or material for the purpose of counterfeiting a Government stamp?,7 Years + Fine (Section: IPC_256)
"What is the punishment for Making, buying or selling instrument for the purpose of counterfeiting a Government stamp?",7 Years + Fine (Section: IPC_257)
What is the punishment for Sale of counterfeit Government stamp?,7 Years + Fine (Section: IPC_258)
What is the punishment for Having possession of a counterfeit Government stamp?,7 Years + Fine (Section: IPC_259)
What is the punishment for Using as genuine a Government stamp known to be counterfeit?,7 Years or Fine or Both (Section: IPC_260)
"What is the punishment for Effacing any writing from a substance bearing a Government stamp, or removing from a document a stamp used for it, with intent to cause a loss to Government?",3 Years or Fine or Both (Section: IPC_261)
What is the punishment for Using a Government stamp known to have been before used?,2 Years or Fine or Both (Section: IPC_262)
What is the punishment for Erasure of mark denoting that stamps have been used?,3 Years or Fine or Both (Section: IPC_263)
What is the punishment for Fictitious stamps?,Fine (Section: IPC_263A)
What is the punishment for Fraudulent use of false instrument for weighing?,1 Year or Fine or Both (Section: IPC_264)
What is the punishment for Fraudulent use of false weight or measure?,1 Year or Fine or Both (Section: IPC_265)
What is the punishment for Being in possession of false weights or measures for fraudulent use?,1 Year or Fine or Both (Section: IPC_266)
What is the punishment for Making or selling false weights or measures for fraudulent use?,1 Year or Fine or Both (Section: IPC_267)
What is the punishment for nan?,nan (Section: IPC_268)
What is the punishment for Negligently doing any act known to be likely to spread infection of any disease dangerous to life?,6 Months or Fine or Both (Section: IPC_269)
What is the punishment for Malignantly doing any act known to be likely to spread infection of any disease dangerous to life?,2 Years or Fine or Both (Section: IPC_270)
What is the punishment for Knowingly disobeying any quarantine rule?,6 Months or Fine or Both (Section: IPC_271)
"What is the punishment for Adulterating food or drink intended for sale, so as to make the same noxious?",6 Months or Fine or Both (Section: IPC_272)
"What is the punishment for Selling any food or drink as food and drink, knowing the same to be noxious?",6 Months or Fine or Both (Section: IPC_273)
"What is the punishment for Adulterating any drug or medical preparation intended for sale so as to lessen its efficacy, or to change its operation, or to make it noxious?",6 Months or Fine or Both (Section: IPC_274)
What is the punishment for Offering for sale or issuing from a dispensary any drug or medical preparation known to have been adulterated?,6 Months or Fine or Both (Section: IPC_275)
What is the punishment for Knowingly selling or issuing from a dispensary any drug or medical preparation as a different drug or medical preparation?,6 Months or Fine or Both (Section: IPC_276)
What is the punishment for Defiling the water of a public spring or reservoir?,3 Months or Fine or Both (Section: IPC_277)
What is the punishment for Making atmosphere noxious to health?,Fine (Section: IPC_278)
"What is the punishment for Driving or riding on a public way so rashly or negligently as to endanger human life, etc.?",6 Months or Fine or Both (Section: IPC_279)
"What is the punishment for Navigating any vessel so rashly or negligently as to endanger human life, etc.?",6 Months or Fine or Both (Section: IPC_280)
"What is the punishment for Exhibition of a false light, mark or buoy?",7 Years or Fine or Both (Section: IPC_281)
"What is the punishment for Conveying for hire any person by water, in a vessel in such a state, or so loaded, as to endanger his life?",6 Months or Fine or Both (Section: IPC_282)
"What is the punishment for Causing danger, obstruction or, injury in any public way or line of navigation?",Fine (Section: IPC_283)
"What is the punishment for Dealing with any poisonous substance so as to endanger human life, etc.?",6 Months or Fine or Both (Section: IPC_284)
"What is the punishment for Dealing with fire or any combustible matter so as to endanger human life, etc.?",6 Months or Fine or Both (Section: IPC_285)
What is the punishment for So dealing with any explosive substance?,6 Months or Fine or Both (Section: IPC_286)
What is the punishment for So dealing with any machinery?,6 Months or Fine or Both (Section: IPC_287)
What is the punishment for A person omitting to guard against probable danger to human life by the fall of any building over which he has a right entitling him to pull it down or repair it?,6 Months or Fine or Both (Section: IPC_288)
"What is the punishment for A person omitting to take order with any animal in his possession, so as to guard against danger to human life, or of grievous hurt, from such animal?",6 Months or Fine or Both (Section: IPC_289)
What is the punishment for Committing a public nuisance?,Fine (Section: IPC_290)
What is the punishment for Committing a nuisance after injunction to discontinue?,"Simple Imprisonment for 6 Months, or Fine, or Both (Section: IPC_291)"
"What is the punishment for Sale, etc., of obscene books, etc.?","First conviction 2 Years + Fine, then 5 Years + Fine (Section: IPC_292)"
"What is the punishment for Sale etc., of obscene objects to young persons?","First conviction 3 Years + Fine, then 7 Years + Fine (Section: IPC_293)"
What is the punishment for Obscene Songs?,3 Months or Fine or Both (Section: IPC_294)
What is the punishment for Keeping a lottery office?,6 Months or Fine or Both (Section: IPC_294A)
"What is the punishment for Destroying, damaging or defiling a place of worship or sacred object with intent to insult the religion of any class of persons?",2 Years or Fine or Both (Section: IPC_295)
What is the punishment for Maliciously insulting the religions or the religious beliefs of any class?,3 Years or Fine or Both (Section: IPC_295A)
What is the punishment for Causing a disturbance to an assembly engaged in religious worship?,1 Year or Fine or Both (Section: IPC_296)
"What is the punishment for Trespassing in place of worship or sepulchre, disturbing funeral with intention to wound the feeling or to insult the religion of any person, or offering indignity to a human corpse?",1 Year or Fine or Both (Section: IPC_297)
"What is the punishment for Uttering any word or making any sound in the hearing or making any gesture, or placing any object in the sight of any person, with intention to wound his religious feelings?",1 Year or Fine or Both (Section: IPC_298)
What is the punishment for nan?,nan (Section: IPC_299)
What is the punishment for nan?,nan (Section: IPC_29A)
What is the punishment for nan?,nan (Section: IPC_300)
What is the punishment for nan?,nan (Section: IPC_301)
What is the punishment for Murder?,Death or Imprisonment for Life + Fine (Section: IPC_302)
What is the punishment for Murder by a person under Sentence of imprisonment for life?,Death (Section: IPC_303)
"What is the punishment for Culpable homicide not amounting to murder, If act by which the death is caused is done with intention of causing death, etc.?",Imprisonment for Life or 10 Years + Fine (Section: IPC_304)
What is the punishment for Causing death by rash or negligent act?,2 Years or Fine or Both (Section: IPC_304A)
What is the punishment for Dowry death?,"Imprisonment for not less than 7 Years, but upto Life (Section: IPC_304B)"
"What is the punishment for Abetment of suicide committed by child or insane or delirious person or an idiot, or a person intoxicated?",Death or Imprisonment for Life or 10 Years + Fine (Section: IPC_305)
What is the punishment for Abetting the Commission of suicide?,10 Years + Fine (Section: IPC_306)
What is the punishment for Attempt to murder?,10 Years + Fine (Section: IPC_307)
What is the punishment for Attempt to commit culpable homicide?,3 Years or Fine or Both (Section: IPC_308)
What is the punishment for Attempt to commit suicide?,Simple Imprisonment for 1 Year or Fine or Both (Section: IPC_309)
What is the punishment for nan?,nan (Section: IPC_310)
What is the punishment for OffencePunishment?,Being a thug (Section: IPC_311)
What is the punishment for Causing miscarriage?,3 Years or Fine or Both (Section: IPC_312)
What is the punishment for Causing miscarriage without woman’s consent?,Imprisonment for Life or 10 Years + Fine (Section: IPC_313)
What is the punishment for Death caused by an act done with intent to cause miscarriage?,10 Years + Fine (Section: IPC_314)
"What is the punishment for Act done with intent to prevent a child being born alive, or to cause it to die after its birth?",10 Years or Fine or Both (Section: IPC_315)
What is the punishment for Causing death of a quick unborn child by an act amounting to culpable homicide?,10 Years and Fine (Section: IPC_316)
What is the punishment for Exposure of a child under 12 Years of age by parent or person having care of it with intention of wholly abandoning it?,7 Years or Fine or Both (Section: IPC_317)
What is the punishment for Concealment of birth by secret disposal of dead body?,2 Years or Fine or Both (Section: IPC_318)
What is the punishment for nan?,nan (Section: IPC_319)
What is the punishment for nan?,nan (Section: IPC_320)
What is the punishment for nan?,nan (Section: IPC_321)
What is the punishment for nan?,nan (Section: IPC_322)
What is the punishment for Voluntarily causing hurt?,1 Year or Fine or Both (Section: IPC_323)
What is the punishment for Voluntarily causing hurt by dangerous weapons or means?,3 Years or Fine or Both (Section: IPC_324)
What is the punishment for Voluntarily causing grievous hurt?,7 Years + Fine (Section: IPC_325)
What is the punishment for Voluntarily causing grievous hurt by dangerous weapons or means?,Imprisonment for Life or 10 Years + Fine (Section: IPC_326)
"What is the punishment for Voluntarily causing grievous hurt by use of acid, etc.?",10 years to Life + Fine paid to the victim (Section: IPC_326A)
What is the punishment for Voluntarily throwing or attempting to throw acid?,5 to 7 years + Fine (Section: IPC_326B)
"What is the punishment for Voluntarily causing hurt to extort property or a valuable security, or to constrain to do anything which is illegal or which may facilitate the commission of an offence?",10 Years + Fine (Section: IPC_327)
"What is the punishment for Administering stupefying drug with intent to cause hurt, etc.?",10 Years + Fine (Section: IPC_328)
"What is the punishment for Voluntarily causing grievous hurt to extort property or a valuable security, or to constrain to do anything which is illegal, or which may facilitate the commission of an offence?",Imprisonment for Life or 10 Years + Fine (Section: IPC_329)
"What is the punishment for Voluntarily causing hurt to extort confession or information of property, etc.?",7 Years + Fine (Section: IPC_330)
"What is the punishment for Voluntarily causing grievous hurt to extort confession or information or to compel restoration of property, etc.?",10 Years + Fine (Section: IPC_331)
What is the punishment for Voluntarily causing hurt to deter public servant from his duty?,3 Years or Fine or Both (Section: IPC_332)
What is the punishment for Voluntarily causing grievous hurt to deter public servant from his duty?,10 Years + Fine (Section: IPC_333)
"What is the punishment for Voluntarily causing hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation?",1 Month or Fine or Both (Section: IPC_334)
"What is the punishment for Causing grievous hurt on Grave and sudden provocation, not intending to hurt and other than the person who gave the provocation?",4 Years or Fine or Both (Section: IPC_335)
What is the punishment for Doing any act which endangers human life or the personal safety of others?,3 Months or Fine or Both (Section: IPC_336)
"What is the punishment for Causing hurt by an act which endangers human life, etc.?",6 Months or Fine or Both (Section: IPC_337)
"What is the punishment for Causing grievous hurt by an act which endangers human life, etc.?",2 Years or Fine or Both (Section: IPC_338)
What is the punishment for nan?,nan (Section: IPC_339)
What is the punishment for nan?,nan (Section: IPC_340)
What is the punishment for Wrongfully restraining any person?,Simple Imprisonment for 1 Month or Fine or Both (Section: IPC_341)
What is the punishment for Wrongfully confining any person?,1 Year or Fine or Both (Section: IPC_342)
What is the punishment for Wrongfully confining for 3 or more days?,2 Years or Fine or Both (Section: IPC_343)
What is the punishment for Wrongfully confining for 10 or more days?,3 Years + Fine (Section: IPC_344)
"What is the punishment for Keeping any person in wrongful confinement, knowing that a writ has been issued for his liberation?",2 Years in addition to imprisonment under any other section (Section: IPC_345)
