question,answer
What is the punishment for nan?,nan (Section: IPC_226)
What is the punishment for nan?,nan (Section: IPC_191)
What is the punishment for nan?,nan (Section: IPC_192)
What is the punishment for Giving or fabricating false evidence in a judicial proceeding?,7 Years + Fine (Section: IPC_193)
What is the punishment for Giving or fabricating false evidence with intent to cause any person to be convicted of a capital offence?,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine (Section: IPC_194)
What is the punishment for Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 Years or upwards?,Same As Offence (Section: IPC_195)
What is the punishment for Threatening any person to give false evidence?,7 Years or Fine or Both (Section: IPC_195A)
What is the punishment for Using in a judicial proceeding evidence known to be false or fabricated?,As For False Evidence (Section: IPC_196)
What is the punishment for Knowingly issuing or signing a false certificate relating to any fact of which such certificate is by law admissible in evidence?,As for False Evidence (Section: IPC_197)
What is the punishment for Using as a true certificate one known to be false in a material point?,As for False Evidence (Section: IPC_198)
What is the punishment for False statement made in any declaration which by law receivable as evidence?,As for False Evidence (Section: IPC_199)
What is the punishment for Using as true any such declaration known to be false?,As for False Evidence (Section: IPC_200)
